instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,01/01/11,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985
2,02/01/11,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801
3,03/01/11,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349
4,04/01/11,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562
5,05/01/11,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600
6,06/01/11,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606
7,07/01/11,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510
8,08/01/11,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959
9,09/01/11,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,822
10,10/01/11,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,1321
11,11/01/11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,1263
12,12/01/11,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162
13,13/01/11,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,1406
14,14/01/11,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421
15,15/01/11,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,1248
16,16/01/11,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204
17,17/01/11,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000
18,18/01/11,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,683
19,19/01/11,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650
20,20/01/11,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927
21,21/01/11,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543
22,22/01/11,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981
23,23/01/11,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986
24,24/01/11,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416
25,25/01/11,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985
26,26/01/11,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506
27,27/01/11,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431
28,28/01/11,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,1167
29,29/01/11,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,1098
30,30/01/11,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096
31,31/01/11,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501
32,01/02/11,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360
33,02/02/11,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526
34,03/02/11,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,1550
35,04/02/11,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,1708
36,05/02/11,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,1005
37,06/02/11,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623
38,07/02/11,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,1712
39,08/02/11,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530
40,09/02/11,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,1605
41,10/02/11,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,1538
42,11/02/11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,1746
43,12/02/11,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,1472
44,13/02/11,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,1589
45,14/02/11,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1913
46,15/02/11,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,1815
47,16/02/11,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,2115
48,17/02/11,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,2475
49,18/02/11,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,2927
50,19/02/11,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,1635
51,20/02/11,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,1812
52,21/02/11,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,1107
53,22/02/11,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,1450
54,23/02/11,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,1917
55,24/02/11,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,1807
56,25/02/11,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,1461
57,26/02/11,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,1969
58,27/02/11,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,2402
59,28/02/11,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,1446
60,01/03/11,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,1851
61,02/03/11,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,2134
62,03/03/11,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,1685
63,04/03/11,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,1944
64,05/03/11,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,2077
65,06/03/11,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,605
66,07/03/11,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,1872
67,08/03/11,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,2133
68,09/03/11,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,1891
69,10/03/11,1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,623
70,11/03/11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,1977
71,12/03/11,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,2132
72,13/03/11,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,2417
73,14/03/11,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,2046
74,15/03/11,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,2056
75,16/03/11,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,2192
76,17/03/11,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,2744
77,18/03/11,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,3239
78,19/03/11,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,3117
79,20/03/11,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,2471
80,21/03/11,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,2077
81,22/03/11,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,2703
82,23/03/11,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,2121
83,24/03/11,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,1865
84,25/03/11,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,2210
85,26/03/11,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,2496
86,27/03/11,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,1693
87,28/03/11,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,2028
88,29/03/11,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,2425
89,30/03/11,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,1536
90,31/03/11,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,1685
91,01/04/11,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,2227
92,02/04/11,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,2252
93,03/04/11,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,3249
94,04/04/11,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,3115
95,05/04/11,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,1795
96,06/04/11,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,2808
97,07/04/11,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,3141
98,08/04/11,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,1471
99,09/04/11,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,2455
100,10/04/11,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,2895
101,11/04/11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,3348
102,12/04/11,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,2034
103,13/04/11,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,2162
104,14/04/11,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,3267
105,15/04/11,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,3126
106,16/04/11,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,795
107,17/04/11,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,3744
108,18/04/11,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,3429
109,19/04/11,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,3204
110,20/04/11,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,3944
111,21/04/11,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,4189
112,22/04/11,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,1683
113,23/04/11,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,4036
114,24/04/11,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,4191
115,25/04/11,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,4073
116,26/04/11,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,4400
117,27/04/11,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,3872
118,28/04/11,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,4058
119,29/04/11,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,4595
120,30/04/11,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,5312
121,01/05/11,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,3351
122,02/05/11,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,4401
123,03/05/11,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,4451
124,04/05/11,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,2633
125,05/05/11,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,4433
126,06/05/11,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,4608
127,07/05/11,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,4714
128,08/05/11,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,4333
129,09/05/11,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,4362
130,10/05/11,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,4803
131,11/05/11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,4182
132,12/05/11,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,4864
133,13/05/11,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,4105
134,14/05/11,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,3409
135,15/05/11,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,4553
136,16/05/11,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,3958
137,17/05/11,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,4123
138,18/05/11,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,3855
139,19/05/11,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,4575
140,20/05/11,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,4917
141,21/05/11,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,5805
142,22/05/11,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,4660
143,23/05/11,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,4274
144,24/05/11,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,4492
145,25/05/11,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,4978
146,26/05/11,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,4677
147,27/05/11,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,4679
148,28/05/11,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,4758
149,29/05/11,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,4788
150,30/05/11,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,4098
151,31/05/11,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,3982
152,01/06/11,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,3974
153,02/06/11,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,4968
154,03/06/11,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,5312
155,04/06/11,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,5342
156,05/06/11,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,4906
157,06/06/11,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,4548
158,07/06/11,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,4833
159,08/06/11,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,4401
160,09/06/11,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,3915
161,10/06/11,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,4586
162,11/06/11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,4966
163,12/06/11,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,4460
164,13/06/11,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,5020
165,14/06/11,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,4891
166,15/06/11,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,5180
167,16/06/11,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,3767
168,17/06/11,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,4844
169,18/06/11,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,5119
170,19/06/11,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,4744
171,20/06/11,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,4010
172,21/06/11,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,4835
173,22/06/11,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,4507
174,23/06/11,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,4790
175,24/06/11,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,4991
176,25/06/11,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,5202
177,26/06/11,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,5305
178,27/06/11,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,4708
179,28/06/11,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,4648
180,29/06/11,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,5225
181,30/06/11,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,5515
182,01/07/11,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,5362
183,02/07/11,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,5119
184,03/07/11,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,4649
185,04/07/11,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,6043
186,05/07/11,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,4665
187,06/07/11,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,4629
188,07/07/11,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,4592
189,08/07/11,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,4040
190,09/07/11,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,5336
191,10/07/11,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,4881
192,11/07/11,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,4086
193,12/07/11,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,4258
194,13/07/11,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,4342
195,14/07/11,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,5084
196,15/07/11,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,5538
197,16/07/11,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,5923
198,17/07/11,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,5302
199,18/07/11,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,4458
200,19/07/11,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,4541
201,20/07/11,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,4332
202,21/07/11,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,3784
203,22/07/11,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,3387
204,23/07/11,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,3285
205,24/07/11,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,3606
206,25/07/11,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,3840
207,26/07/11,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,4590
208,27/07/11,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,4656
209,28/07/11,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,4390
210,29/07/11,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,3846
211,30/07/11,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,4475
212,31/07/11,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,4302
213,01/08/11,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,4266
214,02/08/11,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,4845
215,03/08/11,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,3574
216,04/08/11,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,4576
217,05/08/11,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,4866
218,06/08/11,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,4294
219,07/08/11,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,3785
220,08/08/11,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,4326
221,09/08/11,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,4602
222,10/08/11,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,4780
223,11/08/11,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,4792
224,12/08/11,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,4905
225,13/08/11,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,4150
226,14/08/11,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,3820
227,15/08/11,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,4338
228,16/08/11,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,4725
229,17/08/11,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,4694
230,18/08/11,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,3805
231,19/08/11,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,4153
232,20/08/11,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,5191
233,21/08/11,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,3873
234,22/08/11,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,4758
235,23/08/11,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,5895
236,24/08/11,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,5130
237,25/08/11,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,3542
238,26/08/11,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,4661
239,27/08/11,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,1115
240,28/08/11,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,4334
241,29/08/11,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,4634
242,30/08/11,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,5204
243,31/08/11,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,5058
244,01/09/11,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,5115
245,02/09/11,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,4727
246,03/09/11,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,4484
247,04/09/11,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,4940
248,05/09/11,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,3351
249,06/09/11,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,2710
250,07/09/11,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,1996
